  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    8    0  100.00 100.00     5      5    5      0      6     5    83.33
   2   40    0   70.97  73.33    22     31   30      7     37    37   100.00
   3   31    0   95.24  95.24    20     21   21      0     26    26   100.00
   4   35    0   90.48  86.36    19     21   22      2     32    32   100.00
   5   26    0   86.96  86.96    20     23   23      2     24    23    95.83
   6   17    0   83.33  76.92    10     12   13      1     16    15    93.75
   7   30    2    0.00   0.00     0      0    0      0      0     0     0.00
   8    6    0  100.00 100.00     5      5    5      0      5     5   100.00
   9    7    0  100.00 100.00     4      4    4      0      5     5   100.00
  10   36    0   91.30  84.00    21     23   25      1     32    32   100.00
  11   25    0   95.45  91.30    21     22   23      0     21    20    95.24
  12   16    0   91.67  84.62    11     12   13      0     14    14   100.00
  13   17    0  100.00 100.00    16     16   16      0     15    15   100.00
  14   28    0  100.00 100.00    16     16   16      0     26    25    96.15
  15   42    0   74.07  74.07    20     27   27      4     37    36    97.30
  16   15    0   81.82  90.00     9     11   10      1     13    13   100.00
  17   13    0  100.00 100.00    10     10   10      0     11    11   100.00
  18    8    0  100.00 100.00     5      5    5      0      7     7   100.00
  19   23    0   87.50  93.33    14     16   15      0     21    21   100.00
  20   33    0   91.30 100.00    21     23   21      0     28    28   100.00
  21    9    0  100.00 100.00     6      6    6      0      8     8   100.00
  22   37    0   89.29  83.33    25     28   30      3     33    32    96.97
  23   28    0   55.00  55.00    11     20   20      7     23    23   100.00
  24   24    0   66.67  62.50    10     15   16      1     18    15    83.33
  25   26    0  100.00 100.00    18     18   18      0     20    18    90.00
  26   13    0   84.62  84.62    11     13   13      0     12    12   100.00
  27   28    0   95.45 100.00    21     22   21      0     25    24    96.00
  28   22    0   80.00  75.00    12     15   16      0     21    21   100.00
  29   12    0  100.00 100.00     8      8    8      0     10     9    90.00
  30    4    0  100.00 100.00     3      3    3      0      3     3   100.00
  31   22    0   94.44 100.00    17     18   17      0     18    17    94.44
  32   47    0   89.13  95.35    41     46   43      0     40    35    87.50
  33    5    0  100.00 100.00     4      4    4      0      4     4   100.00
  34   24    0  100.00 100.00    20     20   20      0     22    20    90.91
  35   28    0   88.89  96.00    24     27   25      0     24    22    91.67
  36   24    0   65.22  65.22    15     23   23      7     20    16    80.00
  37   17    0  100.00 100.00    11     11   11      0     15    15   100.00
  38   17    0  100.00 100.00    13     13   13      0     14    13    92.86
  39   38    0   76.00  82.61    19     25   23      4     32    31    96.88
  40   21    0   93.33  93.33    14     15   15      0     19    19   100.00
  41   33    0   90.32  93.33    28     31   30      0     30    29    96.67
  42   15    0  100.00 100.00     9      9    9      0     13    13   100.00
  43   34    0   87.10  87.10    27     31   31      3     31    31   100.00
  44   12    0   85.71  85.71     6      7    7      0     11    10    90.91
  45   12    0  100.00 100.00     8      8    8      0      8     7    87.50
  46   36    0   72.00  69.23    18     25   26      6     32    32   100.00
  47   30    0   80.00  84.21    16     20   19      2     28    28   100.00
  48   31    0   84.62  84.62    22     26   26      1     26    24    92.31
  49   18    0  100.00 100.00    18     18   18      0     15    15   100.00
  50    5    0  100.00 100.00     5      5    5      0      4     4   100.00
  51   15    0  100.00 100.00     9      9    9      0     14    14   100.00
  52   22    0  100.00  85.71    12     12   14      0     17    15    88.24
  53   26    0  100.00 100.00    19     19   19      0     22    19    86.36
  54   16    0  100.00 100.00    10     10   10      0     14    14   100.00
  55   25    0   87.50  91.30    21     24   23      1     23    23   100.00
  56   48    0   92.31  92.31    24     26   26      1     43    42    97.67
  57   28    0   66.67  66.67    16     24   24      5     26    26   100.00
  58   28    0   84.21  88.89    16     19   18      0     25    24    96.00
  59    8    0   83.33  83.33     5      6    6      0      7     6    85.71
  60   23    0   94.74  94.74    18     19   19      0     21    18    85.71
  61   24    0   68.42  76.47    13     19   17      3     20    18    90.00
  62   18    0   82.35  93.33    14     17   15      1     17    17   100.00
  63   18    0  100.00 100.00    15     15   15      0     15    15   100.00
  64   25    0  100.00 100.00    22     22   22      0     22    22   100.00
  65   34    0   92.31  88.89    24     26   27      0     29    29   100.00
  66   19    0   87.50  82.35    14     16   17      0     15    13    86.67
  67   27    0   80.00  83.33    20     25   24      2     23    23   100.00
  68   28    0   64.71  73.33    11     17   15      1     23    21    91.30
  69   34    0  100.00 100.00    26     26   26      0     29    28    96.55
  70   38    0   87.10  90.00    27     31   30      1     30    30   100.00
  71   13    0  100.00 100.00    13     13   13      0     12    12   100.00
  72   14    0  100.00 100.00    11     11   11      0     12    12   100.00
  73   23    0   92.31  92.31    12     13   13      0     21    18    85.71
  74   28    0   95.65 100.00    22     23   22      0     26    25    96.15
  75    6    0  100.00 100.00     4      4    4      0      5     5   100.00
  76   26    0   90.91  90.91    20     22   22      0     23    23   100.00
  77   16    0   85.71  92.31    12     14   13      1     15    15   100.00
  78   33    0   67.65  67.65    23     34   34      9     29    27    93.10
  79   14    0  100.00 100.00    11     11   11      0     13    13   100.00
  80   26    0  100.00 100.00    19     19   19      0     25    22    88.00
  81   16    0   88.89 100.00     8      9    8      0     12    12   100.00
  82   16    0   90.91  83.33    10     11   12      1     14    14   100.00
  83   25    0   92.00 100.00    23     25   23      0     22    21    95.45
  84   20    0   42.86  50.00     6     14   12      1     15    12    80.00
  85   41    0  100.00  96.88    31     31   32      0     35    34    97.14
  86   22    0   80.00  84.21    16     20   19      0     18    18   100.00
  87   26    0   57.89  55.00    11     19   20      9     24    24   100.00
  88   30    0   66.67  66.67    12     18   18      4     22    21    95.45
  89    8    0   90.91  90.91    10     11   11      0      7     6    85.71
  90    2    0  100.00 100.00     1      1    1      0      2     2   100.00
  91   19    0   84.21  84.21    16     19   19      2     18    18   100.00
  92   25    0   73.91  70.83    17     23   24      4     24    24   100.00
  93   33    0   96.43  96.43    27     28   28      1     32    31    96.88
  94   20    0  100.00 100.00    15     15   15      0     19    18    94.74
  95   32    0   95.83  88.46    23     24   26      1     31    30    96.77
  96   28    0  100.00 100.00    22     22   22      0     26    25    96.15
  97   32    0  100.00 100.00    21     21   21      0     28    28   100.00
  98   33    0   96.15  96.15    25     26   26      1     31    30    96.77
  99   33    0   95.65 100.00    22     23   22      0     27    27   100.00
 100    9    0  100.00 100.00     7      7    7      0      8     8   100.00
 101    8    0  100.00 100.00     6      6    6      0      6     6   100.00
