Current time: 01/21/24 20:00:50.199238000 UTC
  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    8    0  100.00 100.00     5      5    5      0      8     7    87.50
   2   40    0   70.97  73.33    22     31   30      7     40    40   100.00
   3   31    0   95.24  95.24    20     21   21      0     31    31   100.00
   4   35    0   90.48  86.36    19     21   22      2     35    35   100.00
   5   26    0   86.96  86.96    20     23   23      2     26    25    96.15
   6   17    0   83.33  76.92    10     12   13      1     17    16    94.12
   7   30    0    0.00   0.00     0     17    0      0     30     0     0.00
   8    6    0  100.00 100.00     5      5    5      0      6     6   100.00
   9    7    0  100.00 100.00     4      4    4      0      7     7   100.00
  10   36    0   91.30  84.00    21     23   25      1     36    36   100.00
  11   25    0  100.00  91.30    21     21   23      0     25    24    96.00
  12   16    0   91.67  84.62    11     12   13      0     16    16   100.00
  13   17    0  100.00 100.00    16     16   16      0     17    17   100.00
  14   28    0  100.00 100.00    16     16   16      0     28    27    96.43
  15   42    0   74.07  74.07    20     27   27      4     42    41    97.62
  16   15    0   81.82  90.00     9     11   10      1     15    15   100.00
  17   13    0  100.00 100.00    10     10   10      0     13    13   100.00
  18    8    0  100.00 100.00     5      5    5      0      8     8   100.00
  19   23    0   87.50  93.33    14     16   15      0     23    23   100.00
  20   33    0   86.96  95.24    20     23   21      0     33    33   100.00
  21    9    0  100.00 100.00     6      6    6      0      9     9   100.00
  22   37    0   89.29  83.33    25     28   30      3     37    36    97.30
  23   28    0   55.00  55.00    11     20   20      7     28    28   100.00
  24   24    0   66.67  62.50    10     15   16      1     24    21    87.50
  25   26    0  100.00 100.00    18     18   18      0     26    24    92.31
  26   13    0   84.62  84.62    11     13   13      0     13    13   100.00
  27   28    0   95.45 100.00    21     22   21      0     28    27    96.43
  28   22    0   80.00  75.00    12     15   16      0     22    22   100.00
  29   12    0  100.00 100.00     8      8    8      0     12    11    91.67
  30    4    0  100.00 100.00     3      3    3      0      4     4   100.00
  31   22    0   94.44 100.00    17     18   17      0     22    21    95.45
  32   47    0   88.89  93.02    40     45   43      0     47    42    89.36
  33    5    0  100.00 100.00     4      4    4      0      5     5   100.00
  34   24    0  100.00 100.00    20     20   20      0     24    22    91.67
  35   28    0   92.31  96.00    24     26   25      0     28    26    92.86
  36   24    0   65.22  65.22    15     23   23      7     24    20    83.33
  37   17    0  100.00 100.00    11     11   11      0     17    17   100.00
  38   17    0  100.00 100.00    13     13   13      0     17    16    94.12
  39   38    0   76.00  82.61    19     25   23      4     38    37    97.37
  40   21    0   93.33  93.33    14     15   15      0     21    21   100.00
  41   33    0   87.10  90.00    27     31   30      0     33    32    96.97
  42   15    0  100.00 100.00     9      9    9      0     15    15   100.00
  43   34    0   87.10  87.10    27     31   31      3     34    34   100.00
  44   12    0   85.71  85.71     6      7    7      0     12    11    91.67
  45   12    0  100.00 100.00     8      8    8      0     12    11    91.67
  46   36    0   72.00  69.23    18     25   26      6     36    36   100.00
  47   30    0   80.00  84.21    16     20   19      2     30    30   100.00
  48   31    0   80.77  80.77    21     26   26      1     31    29    93.55
  49   18    0  100.00 100.00    18     18   18      0     18    18   100.00
  50    5    0  100.00 100.00     5      5    5      0      5     5   100.00
  51   15    0  100.00 100.00     9      9    9      0     15    15   100.00
  52   22    0  100.00  85.71    12     12   14      0     22    20    90.91
  53   26    0  100.00 100.00    19     19   19      0     26    23    88.46
  54   16    0  100.00 100.00    10     10   10      0     16    16   100.00
  55   25    0   91.30  91.30    21     23   23      1     25    25   100.00
  56   48    0   92.31  92.31    24     26   26      1     48    47    97.92
  57   28    0   66.67  66.67    16     24   24      5     28    28   100.00
  58   28    0   84.21  88.89    16     19   18      0     28    27    96.43
  59    8    0   83.33  83.33     5      6    6      0      8     7    87.50
  60   23    0   94.74  94.74    18     19   19      0     23    20    86.96
  61   24    0   57.89  64.71    11     19   17      3     24    22    91.67
